timestamp,indicator,indicator_type,country,country_code,abuse_confidence_score,vt_malicious_count,risk_level,mitre_id,mitre_technique,mitre_tactic,status
2026-08-03 14:26:41,152.195.65.16,IPv4,Germany,DE,56,67,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-03 15:38:41,45.116.197.117,IPv4,Iran,IR,47,42,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-03 15:50:41,85.178.183.210,IPv4,Germany,DE,9,23,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-03 17:06:41,secure-account-auth.net,Domain,North Korea,KP,96,0,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-03 18:28:41,33.190.2.46,IPv4,Germany,DE,43,54,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-03 20:53:41,secure-account-auth.net,Domain,Netherlands,NL,24,57,Critical,T1566,Phishing,Initial Access,Contained
2026-08-03 21:25:41,c6ee9d0e91dc03ee165f72c1831c0db50b4fe9eaa50530a53532d846a55b37fe,File Hash (SHA256),Netherlands,NL,33,49,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-03 21:57:41,85.69.254.250,IPv4,China,CN,68,31,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-03 23:19:41,56.195.214.12,IPv4,North Korea,KP,71,64,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-04 02:43:41,6ec6921382d334b27391511b828b028344489ec1da6b08c7ec669584b6e1659b,File Hash (SHA256),China,CN,25,73,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-04 03:36:41,bad-actor-c2.xyz,Domain,Germany,DE,43,29,High,T1110,Brute Force,Credential Access,Investigating
2026-08-04 03:51:41,44.194.64.166,IPv4,Germany,DE,28,74,Critical,T1059,Command and Scripting Interpreter,Execution,Active Investigation
2026-08-04 03:58:41,faaa99da0eac4b470141d6204b4abbb43a711ad5ba2d114327349eb8a436d827,File Hash (SHA256),Iran,IR,13,67,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-04 05:02:41,c40f3ee74d9f7e18bdacae061abcc95b9b434c8ce591d4ac1e4ff3632f451f53,File Hash (SHA256),Germany,DE,67,40,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-04 05:05:41,66.196.44.9,IPv4,United Kingdom,GB,98,56,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-04 05:37:41,5f81defd955ba32ea06d81d9b5110158f41bf15c6049ab6d584a91cd13b17f2d,File Hash (SHA256),Netherlands,NL,47,60,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-04 06:36:41,167.122.191.174,IPv4,United Kingdom,GB,1,3,Medium,T1071,Application Layer Protocol,Command and Control,Monitored
2026-08-04 07:28:41,update-m365-portal.org,Domain,China,CN,47,6,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-04 11:28:41,da862864e3c7d44aa5d67d8464bc0dcc0ea421921dc52ce5fa7cb4d5e4138cd3,File Hash (SHA256),Netherlands,NL,28,63,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-04 15:23:41,beea8de837b0e309e855bae70c6fbf693923cd88e011f56650014b2d4985537a,File Hash (SHA256),Germany,DE,31,63,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-04 17:05:41,1ff0f22ad250c6e8b60efc4e196f4c0627c8230ce09bc5ec523d5edaed79fa14,File Hash (SHA256),Russia,RU,32,20,High,T1110,Brute Force,Credential Access,Investigating
2026-08-04 17:32:41,d57c287a8d532b332402751043c12e769bc7dbc200c0a4dfd5012b93a390c8b6,File Hash (SHA256),Russia,RU,75,52,Critical,T1003,OS Credential Dumping,Credential Access,Active Investigation
2026-08-04 19:45:41,secure-account-auth.net,Domain,United States,US,35,26,High,T1071,Application Layer Protocol,Command and Control,Investigating
2026-08-04 21:25:41,secure-account-auth.net,Domain,North Korea,KP,71,12,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-04 22:10:41,bad-actor-c2.xyz,Domain,Netherlands,NL,13,55,Critical,T1059,Command and Scripting Interpreter,Execution,Active Investigation
2026-08-04 22:35:41,13.147.77.30,IPv4,Iran,IR,33,60,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-04 22:48:41,bad-actor-c2.xyz,Domain,Russia,RU,52,0,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-04 22:55:41,186.112.247.144,IPv4,Netherlands,NL,75,11,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-04 23:22:41,812a0a334df72e9b2054c08a0ebb4c20e73e03a533abf412d8bf00b4a4bc1f26,File Hash (SHA256),Iran,IR,49,14,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-05 01:50:41,181.173.105.71,IPv4,Russia,RU,84,62,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-05 03:30:41,login-verify-update.com,Domain,Germany,DE,6,39,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-05 09:25:41,205.24.211.102,IPv4,China,CN,70,24,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-05 10:12:41,165.247.53.135,IPv4,Brazil,BR,65,65,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-05 11:48:41,update-m365-portal.org,Domain,Brazil,BR,37,20,High,T1059,Command and Scripting Interpreter,Execution,Investigating
2026-08-05 12:01:41,login-verify-update.com,Domain,Russia,RU,21,35,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-05 12:25:41,14.193.113.143,IPv4,Netherlands,NL,20,57,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-05 15:49:41,update-m365-portal.org,Domain,China,CN,15,51,Critical,T1071,Application Layer Protocol,Command and Control,Active Investigation
2026-08-05 16:30:41,197443eadade07ddd7a72d21e7edd618b1561b99d190346bf8cc50af86b1b696,File Hash (SHA256),Russia,RU,24,72,Critical,T1110,Brute Force,Credential Access,Active Investigation
2026-08-05 17:48:41,update-m365-portal.org,Domain,Iran,IR,95,32,Critical,T1071,Application Layer Protocol,Command and Control,Contained
2026-08-05 19:10:41,183.18.52.51,IPv4,Netherlands,NL,22,41,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-05 19:29:41,login-verify-update.com,Domain,United States,US,15,54,Critical,T1003,OS Credential Dumping,Credential Access,Contained
2026-08-05 21:17:41,login-verify-update.com,Domain,China,CN,34,26,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-05 22:27:41,3b0d740e316dcbdad3b9948890d0f2f03dddc80eeb4a36ef84c4089be471400f,File Hash (SHA256),Netherlands,NL,38,2,Medium,T1059,Command and Scripting Interpreter,Execution,Monitored
2026-08-06 01:09:41,427d28a711790faf031327118bf3d86507f0e0a961b9a16742b4515e2b6b37af,File Hash (SHA256),Netherlands,NL,69,31,Critical,T1059,Command and Scripting Interpreter,Execution,Contained
2026-08-06 02:30:41,56.76.30.82,IPv4,Netherlands,NL,81,1,Critical,T1566,Phishing,Initial Access,Active Investigation
2026-08-06 07:16:41,173.222.74.153,IPv4,United Kingdom,GB,60,25,High,T1003,OS Credential Dumping,Credential Access,Investigating
2026-08-06 08:18:41,a9c0297a7595265ec3e8fb506710ab52b599d67170e6a315e2e8ed6a9cf473ba,File Hash (SHA256),Germany,DE,29,5,Medium,T1110,Brute Force,Credential Access,Monitored
2026-08-06 11:13:41,41.231.124.110,IPv4,Netherlands,NL,99,10,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-06 19:25:41,91.53.226.17,IPv4,Netherlands,NL,7,53,Critical,T1110,Brute Force,Credential Access,Contained
2026-08-06 19:53:41,857e0f9bf736072f9dec3fe02fe02bf0459e2a2538e84fd5f503b6ed7ccf3726,File Hash (SHA256),Germany,DE,94,42,Critical,T1566,Phishing,Initial Access,Active Investigation
